YYYYMMDD,t1 [days],Ap1 [2 nT],YYYYMMDD,t2 [days],Ap2 [2 nT]
19320101,1,15,19830101,1,11
19320102,2,26,19830102,2,7
19320103,3,11,19830103,3,11
19320104,4,4,19830104,4,9
19320105,5,3,19830105,5,6
19320106,6,4,19830106,6,3
19320107,7,10,19830107,7,4
19320108,8,19,19830108,8,9
19320109,9,18,19830109,9,20
19320110,10,15,19830110,10,78
19320111,11,18,19830111,11,11
19320112,12,18,19830112,12,18
19320113,13,9,19830113,13,8
19320114,14,10,19830114,14,8
19320115,15,11,19830115,15,22
19320116,16,8,19830116,16,25
19320117,17,5,19830117,17,25
19320118,18,2,19830118,18,32
19320119,19,2,19830119,19,17
19320120,20,3,19830120,20,14
19320121,21,2,19830121,21,12
19320122,22,2,19830122,22,8
19320123,23,3,19830123,23,10
19320124,24,7,19830124,24,22
19320125,25,20,19830125,25,16
19320126,26,16,19830126,26,12
19320127,27,25,19830127,27,10
19320128,28,26,19830128,28,10
19320129,29,9,19830129,29,16
19320130,30,7,19830130,30,19
19320131,31,13,19830131,31,13
19320201,32,4,19830201,32,11
19320202,33,3,19830202,33,5
19320203,34,28,19830203,34,7
19320204,35,32,19830204,35,59
19320205,36,16,19830205,36,143
19320206,37,15,19830206,37,47
19320207,38,11,19830207,38,43
19320208,39,15,19830208,39,18
19320209,40,12,19830209,40,18
19320210,41,20,19830210,41,23
19320211,42,17,19830211,42,24
19320212,43,18,19830212,43,33
19320213,44,13,19830213,44,35
19320214,45,11,19830214,45,28
19320215,46,7,19830215,46,25
19320216,47,2,19830216,47,30
19320217,48,1,19830217,48,16
19320218,49,3,19830218,49,14
19320219,50,9,19830219,50,10
19320220,51,20,19830220,51,41
19320221,52,6,19830221,52,36
19320222,53,17,19830222,53,21
19320223,54,15,19830223,54,17
19320224,55,15,19830224,55,14
19320225,56,14,19830225,56,6
19320226,57,6,19830226,57,5
19320227,58,3,19830227,58,7
19320228,59,2,19830228,59,8
19320229,60,2,19830301,60,21
19320301,61,3,19830302,61,86
19320302,62,17,19830303,62,36
19320303,63,25,19830304,63,26
19320304,64,26,19830305,64,28
19320305,65,28,19830306,65,12
19320306,66,22,19830307,66,7
19320307,67,17,19830308,67,6
19320308,68,26,19830309,68,8
19320309,69,28,19830310,69,7
19320310,70,36,19830311,70,24
19320311,71,26,19830312,71,53
19320312,72,8,19830313,72,24
19320313,73,6,19830314,73,26
19320314,74,9,19830315,74,15
19320315,75,5,19830316,75,11
19320316,76,5,19830317,76,11
19320317,77,4,19830318,77,20
19320318,78,21,19830319,78,28
19320319,79,8,19830320,79,32
19320320,80,8,19830321,80,12
19320321,81,24,19830322,81,9
19320322,82,27,19830323,82,9
19320323,83,12,19830324,83,10
19320324,84,9,19830325,84,50
19320325,85,5,19830326,85,13
19320326,86,2,19830327,86,3
19320327,87,4,19830328,87,37
19320328,88,38,19830329,88,40
19320329,89,35,19830330,89,27
19320330,90,44,19830331,90,28
19320331,91,40,19830401,91,20
19320401,92,21,19830402,92,16
19320402,93,36,19830403,93,15
19320403,94,22,19830404,94,16
19320404,95,22,19830405,95,17
19320405,96,24,19830406,96,35
19320406,97,16,19830407,97,34
19320407,98,38,19830408,98,25
19320408,99,21,19830409,99,19
19320409,100,14,19830410,100,22
19320410,101,11,19830411,101,8
19320411,102,5,19830412,102,11
19320412,103,6,19830413,103,36
19320413,104,24,19830414,104,45
19320414,105,18,19830415,105,59
19320415,106,16,19830416,106,33
19320416,107,11,19830417,107,19
19320417,108,13,19830418,108,11
19320418,109,25,19830419,109,9
19320419,110,6,19830420,110,13
19320420,111,4,19830421,111,12
19320421,112,2,19830422,112,17
19320422,113,13,19830423,113,17
19320423,114,26,19830424,114,61
19320424,115,26,19830425,115,32
19320425,116,24,19830426,116,28
19320426,117,28,19830427,117,14
19320427,118,18,19830428,118,12
19320428,119,14,19830429,119,39
19320429,120,9,19830430,120,26
19320430,121,6,19830501,121,24
19320501,122,7,19830502,122,14
19320502,123,16,19830503,123,10
19320503,124,16,19830504,124,26
19320504,125,18,19830505,125,24
19320505,126,16,19830506,126,14
19320506,127,15,19830507,127,8
19320507,128,6,19830508,128,11
19320508,129,4,19830509,129,6
19320509,130,2,19830510,130,8
19320510,131,8,19830511,131,50
19320511,132,15,19830512,132,52
19320512,133,8,19830513,133,37
19320513,134,12,19830514,134,23
19320514,135,13,19830515,135,20
19320515,136,16,19830516,136,9
19320516,137,18,19830517,137,64
19320517,138,7,19830518,138,12
19320518,139,4,19830519,139,5
19320519,140,4,19830520,140,10
19320520,141,3,19830521,141,29
19320521,142,11,19830522,142,51
19320522,143,8,19830523,143,38
19320523,144,10,19830524,144,77
19320524,145,10,19830525,145,11
19320525,146,18,19830526,146,10
19320526,147,10,19830527,147,11
19320527,148,9,19830528,148,5
19320528,149,16,19830529,149,5
19320529,150,75,19830530,150,9
19320530,151,66,19830531,151,11
19320531,152,11,19830601,152,12
19320601,153,4,19830602,153,7
19320602,154,5,19830603,154,6
19320603,155,3,19830604,155,3
19320604,156,2,19830605,156,6
19320605,157,4,19830606,157,10
19320606,158,4,19830607,158,6
19320607,159,9,19830608,159,12
19320608,160,22,19830609,160,19
19320609,161,15,19830610,161,37
19320610,162,18,19830611,162,10
19320611,163,12,19830612,163,16
19320612,164,6,19830613,164,70
19320613,165,7,19830614,165,12
19320614,166,4,19830615,166,16
19320615,167,2,19830616,167,8
19320616,168,3,19830617,168,17
19320617,169,4,19830618,169,37
19320618,170,4,19830619,170,20
19320619,171,6,19830620,171,17
19320620,172,12,19830621,172,20
19320621,173,6,19830622,173,20
19320622,174,11,19830623,174,17
19320623,175,6,19830624,175,6
19320624,176,4,19830625,176,5
19320625,177,4,19830626,177,13
19320626,178,8,19830627,178,8
19320627,179,4,19830628,179,12
19320628,180,3,19830629,180,13
19320629,181,3,19830630,181,7
19320630,182,3,19830701,182,6
19320701,183,3,19830702,183,9
19320702,184,3,19830703,184,8
19320703,185,3,19830704,185,8
19320704,186,8,19830705,186,6
19320705,187,12,19830706,187,14
19320706,188,25,19830707,188,14
19320707,189,13,19830708,189,10
19320708,190,12,19830709,190,12
19320709,191,10,19830710,191,5
19320710,192,10,19830711,192,4
19320711,193,4,19830712,193,16
19320712,194,7,19830713,194,19
19320713,195,2,19830714,195,6
19320714,196,3,19830715,196,5
19320715,197,3,19830716,197,21
19320716,198,21,19830717,198,26
19320717,199,7,19830718,199,20
19320718,200,5,19830719,200,9
19320719,201,6,19830720,201,7
19320720,202,4,19830721,202,6
19320721,203,5,19830722,203,10
19320722,204,5,19830723,204,23
19320723,205,3,19830724,205,40
19320724,206,4,19830725,206,12
19320725,207,3,19830726,207,7
19320726,208,7,19830727,208,10
19320727,209,4,19830728,209,11
19320728,210,3,19830729,210,15
19320729,211,2,19830730,211,18
19320730,212,5,19830731,212,7
19320731,213,8,19830801,213,5
19320801,214,10,19830802,214,33
19320802,215,25,19830803,215,17
19320803,216,23,19830804,216,5
19320804,217,14,19830805,217,2
19320805,218,15,19830806,218,6
19320806,219,5,19830807,219,18
19320807,220,4,19830808,220,62
19320808,221,4,19830809,221,11
19320809,222,7,19830810,222,5
19320810,223,2,19830811,223,6
19320811,224,4,19830812,224,26
19320812,225,11,19830813,225,25
19320813,226,12,19830814,226,9
19320814,227,6,19830815,227,10
19320815,228,4,19830816,228,4
19320816,229,3,19830817,229,6
19320817,230,3,19830818,230,2
19320818,231,4,19830819,231,9
19320819,232,3,19830820,232,11
19320820,233,2,19830821,233,25
19320821,234,10,19830822,234,15
19320822,235,11,19830823,235,32
19320823,236,9,19830824,236,23
19320824,237,3,19830825,237,36
19320825,238,5,19830826,238,26
19320826,239,4,19830827,239,5
19320827,240,31,19830828,240,8
19320828,241,59,19830829,241,17
19320829,242,34,19830830,242,18
19320830,243,25,19830831,243,29
19320831,244,10,19830901,244,17
19320901,245,11,19830902,245,6
19320902,246,8,19830903,246,6
19320903,247,4,19830904,247,3
19320904,248,5,19830905,248,3
19320905,249,7,19830906,249,5
19320906,250,29,19830907,250,22
19320907,251,6,19830908,251,15
19320908,252,19,19830909,252,16
19320909,253,13,19830910,253,12
19320910,254,4,19830911,254,12
19320911,255,4,19830912,255,13
19320912,256,3,19830913,256,7
19320913,257,4,19830914,257,6
19320914,258,6,19830915,258,21
19320915,259,4,19830916,259,26
19320916,260,3,19830917,260,25
19320917,261,4,19830918,261,11
19320918,262,12,19830919,262,54
19320919,263,17,19830920,263,22
19320920,264,15,19830921,264,11
19320921,265,8,19830922,265,13
19320922,266,14,19830923,266,4
19320923,267,26,19830924,267,9
19320924,268,36,19830925,268,33
19320925,269,43,19830926,269,28
19320926,270,18,19830927,270,13
19320927,271,14,19830928,271,10
19320928,272,6,19830929,272,8
19320929,273,9,19830930,273,3
19320930,274,10,19831001,274,11
19321001,275,6,19831002,275,23
19321002,276,10,19831003,276,18
19321003,277,9,19831004,277,43
19321004,278,6,19831005,278,8
19321005,279,6,19831006,279,22
19321006,280,4,19831007,280,11
19321007,281,4,19831008,281,16
19321008,282,5,19831009,282,5
19321009,283,9,19831010,283,7
19321010,284,12,19831011,284,6
19321011,285,6,19831012,285,4
19321012,286,6,19831013,286,30
19321013,287,4,19831014,287,22
19321014,288,2,19831015,288,19
19321015,289,32,19831016,289,13
19321016,290,18,19831017,290,48
19321017,291,16,19831018,291,51
19321018,292,6,19831019,292,8
19321019,293,7,19831020,293,6
19321020,294,24,19831021,294,16
19321021,295,25,19831022,295,19
19321022,296,10,19831023,296,21
19321023,297,22,19831024,297,22
19321024,298,12,19831025,298,6
19321025,299,8,19831026,299,3
19321026,300,4,19831027,300,2
19321027,301,13,19831028,301,10
19321028,302,4,19831029,302,34
19321029,303,3,19831030,303,19
19321030,304,14,19831031,304,10
19321031,305,7,19831101,305,19
19321101,306,22,19831102,306,35
19321102,307,10,19831103,307,20
19321103,308,7,19831104,308,7
19321104,309,8,19831105,309,3
19321105,310,9,19831106,310,3
19321106,311,5,19831107,311,12
19321107,312,4,19831108,312,27
19321108,313,4,19831109,313,43
19321109,314,3,19831110,314,29
19321110,315,3,19831111,315,40
19321111,316,4,19831112,316,44
19321112,317,8,19831113,317,24
19321113,318,8,19831114,318,28
19321114,319,16,19831115,319,23
19321115,320,10,19831116,320,30
19321116,321,35,19831117,321,38
19321117,322,15,19831118,322,27
19321118,323,10,19831119,323,18
19321119,324,7,19831120,324,26
19321120,325,7,19831121,325,9
19321121,326,4,19831122,326,6
19321122,327,3,19831123,327,2
19321123,328,4,19831124,328,12
19321124,329,2,19831125,329,16
19321125,330,8,19831126,330,22
19321126,331,4,19831127,331,7
19321127,332,4,19831128,332,15
19321128,333,8,19831129,333,23
19321129,334,13,19831130,334,22
19321130,335,5,19831201,335,13
19321201,336,5,19831202,336,8
19321202,337,6,19831203,337,4
19321203,338,4,19831204,338,4
19321204,339,6,19831205,339,16
19321205,340,4,19831206,340,28
19321206,341,5,19831207,341,27
19321207,342,2,19831208,342,11
19321208,343,14,19831209,343,3
19321209,344,14,19831210,344,22
19321210,345,9,19831211,345,33
19321211,346,4,19831212,346,23
19321212,347,3,19831213,347,24
19321213,348,10,19831214,348,24
19321214,349,34,19831215,349,17
19321215,350,23,19831216,350,6
19321216,351,20,19831217,351,6
19321217,352,18,19831218,352,7
19321218,353,11,19831219,353,9
19321219,354,11,19831220,354,5
19321220,355,4,19831221,355,4
19321221,356,3,19831222,356,12
19321222,357,3,19831223,357,11
19321223,358,2,19831224,358,15
19321224,359,3,19831225,359,11
19321225,360,8,19831226,360,16
19321226,361,9,19831227,361,15
19321227,362,11,19831228,362,13
19321228,363,11,19831229,363,9
19321229,364,5,19831230,364,33
19321230,365,8,19831231,365,27
19321231,366,12,19840101,366,28
19330101,367,14,19840102,367,20
19330102,368,11,19840103,368,20
19330103,369,5,19840104,369,30
19330104,370,2,19840105,370,26
19330105,371,1,19840106,371,14
19330106,372,16,19840107,372,5
19330107,373,8,19840108,373,3
19330108,374,5,19840109,374,4
19330109,375,4,19840110,375,14
19330110,376,1,19840111,376,10
19330111,377,1,19840112,377,5
19330112,378,3,19840113,378,9
19330113,379,3,19840114,379,6
19330114,380,5,19840115,380,6
19330115,381,19,19840116,381,6
19330116,382,8,19840117,382,7
19330117,383,6,19840118,383,6
19330118,384,4,19840119,384,19
19330119,385,12,19840120,385,9
19330120,386,13,19840121,386,12
19330121,387,2,19840122,387,12
19330122,388,16,19840123,388,6
19330123,389,15,19840124,389,5
19330124,390,15,19840125,390,10
19330125,391,15,19840126,391,16
19330126,392,18,19840127,392,8
19330127,393,25,19840128,393,22
19330128,394,21,19840129,394,21
19330129,395,12,19840130,395,32
19330130,396,12,19840131,396,23
19330131,397,7,19840201,397,16
19330201,398,3,19840202,398,20
19330202,399,10,19840203,399,19
19330203,400,4,19840204,400,54
19330204,401,4,19840205,401,14
19330205,402,4,19840206,402,8
19330206,403,2,19840207,403,9
19330207,404,7,19840208,404,7
19330208,405,4,19840209,405,9
19330209,406,7,19840210,406,21
19330210,407,4,19840211,407,21
19330211,408,1,19840212,408,12
19330212,409,4,19840213,409,36
19330213,410,1,19840214,410,43
19330214,411,8,19840215,411,19
19330215,412,10,19840216,412,7
19330216,413,2,19840217,413,9
19330217,414,0,19840218,414,17
19330218,415,3,19840219,415,7
19330219,416,28,19840220,416,13
19330220,417,24,19840221,417,14
19330221,418,34,19840222,418,8
19330222,419,33,19840223,419,15
19330223,420,30,19840224,420,10
19330224,421,32,19840225,421,7
19330225,422,19,19840226,422,16
19330226,423,22,19840227,423,34
19330227,424,12,19840228,424,8
19330228,425,5,19840229,425,10
19330301,426,7,19840301,426,32
19330302,427,6,19840302,427,38
19330303,428,7,19840303,428,35
19330304,429,5,19840304,429,9
19330305,430,2,19840305,430,4
19330306,431,3,19840306,431,31
19330307,432,2,19840307,432,26
19330308,433,4,19840308,433,29
19330309,434,3,19840309,434,13
19330310,435,6,19840310,435,17
19330311,436,10,19840311,436,9
19330312,437,6,19840312,437,11
19330313,438,9,19840313,438,19
19330314,439,8,19840314,439,6
19330315,440,4,19840315,440,9
19330316,441,3,19840316,441,16
19330317,442,4,19840317,442,22
19330318,443,32,19840318,443,18
19330319,444,31,19840319,444,12
19330320,445,37,19840320,445,4
19330321,446,24,19840321,446,7
19330322,447,27,19840322,447,21
19330323,448,30,19840323,448,18
19330324,449,31,19840324,449,10
19330325,450,14,19840325,450,34
19330326,451,8,19840326,451,16
19330327,452,16,19840327,452,23
19330328,453,15,19840328,453,60
19330329,454,12,19840329,454,52
19330330,455,8,19840330,455,29
19330331,456,10,19840331,456,25
19330401,457,9,19840401,457,34
19330402,458,7,19840402,458,46
19330403,459,13,19840403,459,42
19330404,460,12,19840404,460,84
19330405,461,6,19840405,461,57
19330406,462,10,19840406,462,12
19330407,463,15,19840407,463,25
19330408,464,11,19840408,464,58
19330409,465,11,19840409,465,37
19330410,466,9,19840410,466,8
19330411,467,4,19840411,467,13
19330412,468,2,19840412,468,15
19330413,469,3,19840413,469,15
19330414,470,5,19840414,470,18
19330415,471,18,19840415,471,10
19330416,472,20,19840416,472,4
19330417,473,30,19840417,473,8
19330418,474,22,19840418,474,7
19330419,475,26,19840419,475,12
19330420,476,20,19840420,476,20
19330421,477,22,19840421,477,11
19330422,478,20,19840422,478,5
19330423,479,18,19840423,479,6
19330424,480,10,19840424,480,6
19330425,481,7,19840425,481,33
19330426,482,10,19840426,482,103
19330427,483,6,19840427,483,26
19330428,484,8,19840428,484,17
19330429,485,4,19840429,485,18
19330430,486,18,19840430,486,9
19330501,487,82,19840501,487,22
19330502,488,20,19840502,488,13
19330503,489,14,19840503,489,12
19330504,490,16,19840504,490,13
19330505,491,13,19840505,491,27
19330506,492,20,19840506,492,10
19330507,493,10,19840507,493,4
19330508,494,5,19840508,494,5
19330509,495,2,19840509,495,19
19330510,496,4,19840510,496,27
19330511,497,4,19840511,497,10
19330512,498,2,19840512,498,12
19330513,499,8,19840513,499,9
19330514,500,13,19840514,500,12
19330515,501,14,19840515,501,9
19330516,502,8,19840516,502,7
19330517,503,10,19840517,503,32
19330518,504,19,19840518,504,12
19330519,505,8,19840519,505,22
19330520,506,4,19840520,506,30
19330521,507,5,19840521,507,44
19330522,508,5,19840522,508,32
19330523,509,4,19840523,509,30
19330524,510,4,19840524,510,30
19330525,511,5,19840525,511,16
19330526,512,2,19840526,512,14
19330527,513,7,19840527,513,7
19330528,514,7,19840528,514,8
19330529,515,11,19840529,515,9
19330530,516,17,19840530,516,17
19330531,517,22,19840531,517,7
19330601,518,21,19840601,518,7
19330602,519,7,19840602,519,12
19330603,520,6,19840603,520,32
19330604,521,4,19840604,521,26
19330605,522,3,19840605,522,19
19330606,523,3,19840606,523,12
19330607,524,4,19840607,524,10
19330608,525,12,19840608,525,10
19330609,526,10,19840609,526,20
19330610,527,5,19840610,527,15
19330611,528,4,19840611,528,11
19330612,529,4,19840612,529,7
19330613,530,36,19840613,530,6
19330614,531,15,19840614,531,4
19330615,532,9,19840615,532,24
19330616,533,4,19840616,533,42
19330617,534,4,19840617,534,11
19330618,535,4,19840618,535,27
19330619,536,8,19840619,536,29
19330620,537,17,19840620,537,16
19330621,538,6,19840621,538,3
19330622,539,4,19840622,539,6
19330623,540,2,19840623,540,11
19330624,541,3,19840624,541,22
19330625,542,10,19840625,542,10
19330626,543,6,19840626,543,8
19330627,544,10,19840627,544,10
19330628,545,16,19840628,545,21
19330629,546,11,19840629,546,12
19330630,547,6,19840630,547,12
19330701,548,6,19840701,548,14
19330702,549,6,19840702,549,12
19330703,550,6,19840703,550,12
19330704,551,5,19840704,551,12
19330705,552,5,19840705,552,12
19330706,553,4,19840706,553,10
19330707,554,3,19840707,554,7
19330708,555,8,19840708,555,10
19330709,556,18,19840709,556,9
19330710,557,9,19840710,557,14
19330711,558,10,19840711,558,11
19330712,559,7,19840712,559,13
19330713,560,4,19840713,560,62
19330714,561,4,19840714,561,40
19330715,562,3,19840715,562,25
19330716,563,4,19840716,563,25
19330717,564,9,19840717,564,43
19330718,565,11,19840718,565,19
19330719,566,4,19840719,566,14
19330720,567,7,19840720,567,12
19330721,568,4,19840721,568,8
19330722,569,5,19840722,569,9
19330723,570,19,19840723,570,8
19330724,571,29,19840724,571,12
19330725,572,6,19840725,572,8
19330726,573,6,19840726,573,6
19330727,574,13,19840727,574,14
19330728,575,4,19840728,575,18
19330729,576,4,19840729,576,12
19330730,577,4,19840730,577,8
19330731,578,4,19840731,578,17
19330801,579,2,19840801,579,75
19330802,580,3,19840802,580,24
19330803,581,3,19840803,581,14
19330804,582,2,19840804,582,14
19330805,583,36,19840805,583,7
19330806,584,21,19840806,584,4
19330807,585,6,19840807,585,4
19330808,586,6,19840808,586,14
19330809,587,3,19840809,587,17
19330810,588,3,19840810,588,8
19330811,589,2,19840811,589,11
19330812,590,3,19840812,590,15
19330813,591,22,19840813,591,8
19330814,592,11,19840814,592,20
19330815,593,8,19840815,593,22
19330816,594,5,19840816,594,15
19330817,595,13,19840817,595,11
19330818,596,18,19840818,596,6
19330819,597,14,19840819,597,14
19330820,598,14,19840820,598,10
19330821,599,19,19840821,599,3
19330822,600,4,19840822,600,1
19330823,601,15,19840823,601,8
19330824,602,15,19840824,602,23
19330825,603,10,19840825,603,18
19330826,604,9,19840826,604,10
19330827,605,5,19840827,605,36
19330828,606,3,19840828,606,36
19330829,607,3,19840829,607,21
19330830,608,4,19840830,608,16
19330831,609,2,19840831,609,12
19330901,610,6,19840901,610,11
19330902,611,8,19840902,611,12
19330903,612,5,19840903,612,12
19330904,613,6,19840904,613,59
19330905,614,3,19840905,614,63
19330906,615,4,19840906,615,12
19330907,616,6,19840907,616,6
19330908,617,10,19840908,617,11
19330909,618,54,19840909,618,12
19330910,619,20,19840910,619,25
19330911,620,9,19840911,620,17
19330912,621,11,19840912,621,13
19330913,622,26,19840913,622,11
19330914,623,20,19840914,623,14
19330915,624,27,19840915,624,10
19330916,625,14,19840916,625,8
19330917,626,10,19840917,626,6
19330918,627,13,19840918,627,3
19330919,628,12,19840919,628,36
19330920,629,10,19840920,629,21
19330921,630,9,19840921,630,10
19330922,631,6,19840922,631,22
19330923,632,7,19840923,632,112
19330924,633,6,19840924,633,52
19330925,634,10,19840925,634,43
19330926,635,6,19840926,635,42
19330927,636,8,19840927,636,25
19330928,637,11,19840928,637,16
19330929,638,7,19840929,638,12
19330930,639,6,19840930,639,11
19331001,640,3,19841001,640,7
19331002,641,5,19841002,641,10
19331003,642,3,19841003,642,20
19331004,643,8,19841004,643,6
19331005,644,20,19841005,644,7
19331006,645,15,19841006,645,21
19331007,646,26,19841007,646,43
19331008,647,15,19841008,647,24
19331009,648,19,19841009,648,20
19331010,649,19,19841010,649,29
19331011,650,11,19841011,650,28
19331012,651,19,19841012,651,32
19331013,652,17,19841013,652,17
19331014,653,20,19841014,653,15
19331015,654,7,19841015,654,14
19331016,655,6,19841016,655,19
19331017,656,5,19841017,656,3
19331018,657,19,19841018,657,43
19331019,658,5,19841019,658,75
19331020,659,5,19841020,659,63
19331021,660,4,19841021,660,47
19331022,661,4,19841022,661,46
19331023,662,4,19841023,662,27
19331024,663,9,19841024,663,39
19331025,664,15,19841025,664,22
19331026,665,11,19841026,665,14
19331027,666,6,19841027,666,8
19331028,667,4,19841028,667,8
19331029,668,3,19841029,668,7
19331030,669,4,19841030,669,7
19331031,670,3,19841031,670,6
19331101,671,6,19841101,671,27
19331102,672,7,19841102,672,12
19331103,673,10,19841103,673,18
19331104,674,14,19841104,674,18
19331105,675,8,19841105,675,13
19331106,676,25,19841106,676,14
19331107,677,24,19841107,677,20
19331108,678,29,19841108,678,20
19331109,679,13,19841109,679,12
19331110,680,10,19841110,680,18
19331111,681,19,19841111,681,20
19331112,682,7,19841112,682,8
19331113,683,5,19841113,683,10
19331114,684,4,19841114,684,14
19331115,685,4,19841115,685,52
19331116,686,4,19841116,686,112
19331117,687,3,19841117,687,35
19331118,688,7,19841118,688,22
19331119,689,8,19841119,689,21
19331120,690,6,19841120,690,20
19331121,691,12,19841121,691,22
19331122,692,6,19841122,692,14
19331123,693,9,19841123,693,10
19331124,694,4,19841124,694,10
19331125,695,4,19841125,695,10
19331126,696,3,19841126,696,8
19331127,697,9,19841127,697,7
19331128,698,9,19841128,698,6
19331129,699,6,19841129,699,13
19331130,700,4,19841130,700,36
19331201,701,3,19841201,701,15
19331202,702,5,19841202,702,27
19331203,703,14,19841203,703,22
19331204,704,21,19841204,704,28
19331205,705,24,19841205,705,20
19331206,706,10,19841206,706,22
19331207,707,12,19841207,707,18
19331208,708,4,19841208,708,8
19331209,709,17,19841209,709,6
19331210,710,17,19841210,710,9
19331211,711,6,19841211,711,19
19331212,712,3,19841212,712,17
19331213,713,4,19841213,713,27
19331214,714,3,19841214,714,8
19331215,715,3,19841215,715,24
19331216,716,4,19841216,716,33
19331217,717,6,19841217,717,28
19331218,718,12,19841218,718,15
19331219,719,9,19841219,719,8
19331220,720,4,19841220,720,6
19331221,721,3,19841221,721,13
19331222,722,5,19841222,722,9
19331223,723,3,19841223,723,16
19331224,724,2,19841224,724,4
19331225,725,4,19841225,725,5
19331226,726,5,19841226,726,26
19331227,727,4,19841227,727,17
19331228,728,5,19841228,728,31
19331229,729,7,19841229,729,26
19331230,730,1,19841230,730,21
19331231,731,3,19841231,731,24
19340101,732,20,19850101,732,33
19340102,733,14,19850102,733,17
19340103,734,5,19850103,734,13
19340104,735,3,19850104,735,7
19340105,736,2,19850105,736,6
19340106,737,2,19850106,737,5
19340107,738,3,19850107,738,5
19340108,739,4,19850108,739,19
19340109,740,2,19850109,740,46
19340110,741,4,19850110,741,29
19340111,742,4,19850111,742,20
19340112,743,3,19850112,743,19
19340113,744,2,19850113,744,14
19340114,745,8,19850114,745,9
19340115,746,7,19850115,746,9
19340116,747,8,19850116,747,8
19340117,748,3,19850117,748,9
19340118,749,7,19850118,749,6
19340119,750,5,19850119,750,7
19340120,751,5,19850120,751,6
19340121,752,6,19850121,752,12
19340122,753,5,19850122,753,11
19340123,754,11,19850123,754,36
19340124,755,8,19850124,755,7
19340125,756,6,19850125,756,9
19340126,757,6,19850126,757,6
19340127,758,4,19850127,758,11
19340128,759,4,19850128,759,58
19340129,760,10,19850129,760,24
19340130,761,6,19850130,761,17
19340131,762,5,19850131,762,15
19340201,763,3,19850201,763,15
19340202,764,5,19850202,764,11
19340203,765,5,19850203,765,8
19340204,766,12,19850204,766,3
19340205,767,8,19850205,767,21
19340206,768,3,19850206,768,46
19340207,769,4,19850207,769,20
19340208,770,5,19850208,770,24
19340209,771,26,19850209,771,19
19340210,772,13,19850210,772,24
19340211,773,8,19850211,773,13
19340212,774,6,19850212,774,11
19340213,775,7,19850213,775,11
19340214,776,3,19850214,776,16
19340215,777,9,19850215,777,9
19340216,778,24,19850216,778,7
19340217,779,18,19850217,779,12
19340218,780,14,19850218,780,4
19340219,781,6,19850219,781,7
19340220,782,7,19850220,782,10
19340221,783,4,19850221,783,8
19340222,784,8,19850222,784,7
19340223,785,4,19850223,785,7
19340224,786,5,19850224,786,18
19340225,787,7,19850225,787,12
19340226,788,3,19850226,788,5
19340227,789,4,19850227,789,19
19340228,790,4,19850228,790,60
19340301,791,4,19850301,791,16
19340302,792,16,19850302,792,22
19340303,793,6,19850303,793,14
19340304,794,18,19850304,794,10
19340305,795,32,19850305,795,42
19340306,796,15,19850306,796,24
19340307,797,24,19850307,797,22
19340308,798,7,19850308,798,27
19340309,799,8,19850309,799,4
19340310,800,13,19850310,800,10
19340311,801,14,19850311,801,6
19340312,802,5,19850312,802,7
19340313,803,3,19850313,803,4
19340314,804,2,19850314,804,7
19340315,805,8,19850315,805,14
19340316,806,9,19850316,806,11
19340317,807,7,19850317,807,8
19340318,808,9,19850318,808,11
19340319,809,4,19850319,809,9
19340320,810,3,19850320,810,5
19340321,811,4,19850321,811,5
19340322,812,17,19850322,812,4
19340323,813,12,19850323,813,5
19340324,814,10,19850324,814,6
19340325,815,22,19850325,815,5
19340326,816,7,19850326,816,8
19340327,817,5,19850327,817,10
19340328,818,9,19850328,818,14
19340329,819,14,19850329,819,6
19340330,820,8,19850330,820,7
19340331,821,24,19850331,821,10
19340401,822,21,19850401,822,23
19340402,823,10,19850402,823,16
19340403,824,6,19850403,824,20
19340404,825,15,19850404,825,17
19340405,826,18,19850405,826,7
19340406,827,13,19850406,827,5
19340407,828,6,19850407,828,7
19340408,829,4,19850408,829,15
19340409,830,4,19850409,830,38
19340410,831,2,19850410,831,11
19340411,832,2,19850411,832,11
19340412,833,3,19850412,833,5
19340413,834,3,19850413,834,6
19340414,835,4,19850414,835,10
19340415,836,5,19850415,836,4
19340416,837,13,19850416,837,8
19340417,838,3,19850417,838,5
19340418,839,1,19850418,839,4
19340419,840,4,19850419,840,21
19340420,841,6,19850420,841,53
19340421,842,4,19850421,842,103
19340422,843,5,19850422,843,11
19340423,844,4,19850423,844,12
19340424,845,6,19850424,845,17
19340425,846,5,19850425,846,21
19340426,847,3,19850426,847,30
19340427,848,4,19850427,848,33
19340428,849,3,19850428,849,61
19340429,850,2,19850429,850,17
19340430,851,3,19850430,851,42
19340501,852,4,19850501,852,10
19340502,853,17,19850502,853,38
19340503,854,17,19850503,854,6
19340504,855,5,19850504,855,10
19340505,856,4,19850505,856,7
19340506,857,5,19850506,857,10
19340507,858,3,19850507,858,8
19340508,859,3,19850508,859,7
19340509,860,4,19850509,860,8
19340510,861,5,19850510,861,4
19340511,862,17,19850511,862,5
19340512,863,16,19850512,863,12
19340513,864,6,19850513,864,11
19340514,865,3,19850514,865,8
19340515,866,2,19850515,866,15
19340516,867,2,19850516,867,11
19340517,868,3,19850517,868,8
19340518,869,29,19850518,869,9
19340519,870,11,19850519,870,9
19340520,871,3,19850520,871,5
